14
0,38	0,32	0	0	0,01	0	0,29	0	0	0	0	0	0	0
0	0,42	0,15	0	0	0,07	0,36	0	0	0	0	0	0	0
0	0	0,11	0	0	0,42	0	0,47	0	0	0	0	0	0
0	0	0,59	0,12	0	0,29	0	0	0	0	0	0	0	0
0,38	0	0	0	0,04	0,28	0	0	0,11	0,01	0,18	0	0	0
0	0	0	0	0,29	0,19	0,32	0	0	0,2	0	0	0	0
0	0,26	0	0	0	0	0,06	0	0,08	0,38	0,22	0	0	0
0	0	0	0,62	0	0	0	0,13	0	0,25	0	0	0	0
0	0	0	0	0	0	0	0	0,28	0	0	0,39	0	0,33
0	0	0	0	0	0,09	0,42	0	0	0,27	0,17	0	0,05	0
0	0	0	0	0,09	0,38	0,22	0	0	0	0,05	0,22	0,04	0
0	0	0	0	0	0	0	0	0,09	0	0,22	0,23	0,46	0
0	0	0	0	0	0	0	0	0,71	0	0,2	0	0,09	0
0	0	0	0	0	0	0	0	0,24	0	0	0	0,64	0,12
